Id,StoreId,NetProfit,StockSize
161,1,29,44
162,1,84,24
163,1,82,28
164,1,89,14
165,1,7,42
166,1,12,50
167,1,375,42
168,1,924,50
169,1,48,22
170,1,21,34
171,1,275,29
172,1,276,26
173,1,51,22
174,1,32,26
175,1,7,18
176,1,41,39
177,1,12,30
178,1,17,50
179,1,27,37
180,1,6,40
181,1,691,18
182,1,9712,13
183,1,86,42
184,1,49,8
185,1,739,45
186,1,4,34
187,1,3,8
188,1,684,7
189,1,49,10
190,1,8,44
191,1,961,8
192,1,7,37
193,1,324,10
194,1,56,14
195,1,69,7
196,1,84,40
197,1,17,9
198,1,695,12
199,1,742,15
200,1,38,9
201,1,51,9
202,1,5934,36
203,1,91,6
204,1,743,5
205,1,57,17
206,1,38,22
207,1,27,42
208,1,54,21
209,1,17,27
210,1,781,30
211,1,4527,31
212,1,832,9
213,1,417,39
214,1,971,19
215,1,528,12
216,1,6,49
217,1,371,22
218,1,753,49
219,1,614,43
220,1,762,17
221,1,57,28
222,1,53,39
223,1,89,46
224,1,27,7
225,1,671,9
226,1,23,47
227,1,92,30
228,1,73,38
229,1,153,48
230,1,6,28
231,1,365,28
232,1,847,42
233,1,51,22
234,1,479,27
235,1,74,30
236,1,184,10
237,1,8,35
238,1,358,26
239,1,23,41
240,1,195,29
241,1,84,5
242,1,132,46
243,1,53,9
244,1,125,33
245,1,96,9
246,1,85,9
247,1,85,21
248,1,169,50
249,1,978,7
250,1,548,34
251,1,8267,32
252,1,6827,28
253,1,315,45
254,1,9,19
255,1,79,9
256,1,28,49
257,1,783,44
258,1,15,29
259,1,2796,28
260,1,3,6
261,1,76,10
262,1,4176,30
263,1,8,36
264,1,3682,8
265,1,5971,14
266,1,91,20
267,1,5,45
268,1,95,38
269,1,419,30
270,1,582,43
271,1,34,46
272,1,98,8
273,2,82,41
274,2,63,18
275,2,67,47
276,2,735,35
277,2,67,5
278,2,7326,36
279,2,6834,16
280,2,2594,33
281,2,14,18
282,2,52,40
283,2,65,8
284,2,39,12
285,2,17,43
286,2,15,49
287,2,49,27
288,2,572,48
289,2,72,47
290,2,2348,24
291,2,48,32
292,2,3,25
293,2,8146,43
294,2,41,45
295,2,153,23
296,2,9,9
297,2,46,46
298,2,1346,28
299,2,462,29
300,2,785,31
301,2,549,14
302,2,1,23
303,2,842,19
304,2,15,10
305,2,389,30
306,2,87,41
307,2,7,22
308,2,195,48
309,2,25,24
310,2,91,31
311,2,79,47
312,2,49,16
313,2,752,16
314,2,689,49
315,2,2,21
316,2,675,6
317,2,68,7
318,2,23,18
319,2,1,19
320,2,94,48
321,2,942,13
322,2,92,14
323,2,8593,44
324,2,632,15
325,2,92,46
326,2,5472,28
327,2,56,41
328,2,8,41
329,2,23,19
330,2,863,42
331,2,712,40
332,2,92,37
333,2,836,32
334,2,8175,29
335,2,748,37
336,2,264,13
337,2,12,22
338,2,231,42
339,2,9716,7
340,2,18,10
341,2,53,39
342,2,97,31
343,2,29,43
344,2,748,41
345,2,3,36
346,2,1,41
347,2,325,20
348,2,316,33
349,2,527,13
350,2,74,10
351,2,692,26
352,2,691,40
353,2,3869,16
354,2,64,44
355,2,4,45
356,2,19,48
357,2,8619,42
358,2,8,46
359,2,3697,5
360,2,19,41
361,2,29,8
362,2,215,41
363,2,84,24
364,2,18,41
365,2,3,15
366,2,7314,35
367,2,13,15
368,2,69,20
369,2,4,43
370,2,516,39
371,2,15,9
372,2,498,18
373,2,2,21
374,2,65,10
375,2,61,37
376,2,5,33
377,2,67,20
378,2,182,22
379,2,92,16
380,2,91,26
381,2,9,17
382,2,86,43
383,2,364,26
384,2,893,14
385,2,21,28
386,2,317,45
387,2,59,45
388,2,1596,31
389,2,5,44
390,2,6791,27
391,2,52,34
392,2,82,40
393,2,14,48
394,2,73,40
395,2,79,50
396,2,465,50
397,2,16,16
398,2,89,21
399,2,315,33
400,2,547,27
401,2,235,10
402,2,28,7
403,2,79,38
404,2,81,29
405,2,59,48
406,2,4,8
407,2,147,28
408,2,68,49
409,2,712,38
410,2,7183,40
411,2,186,20
412,2,65,11
413,2,23,43
414,2,2,15
415,2,617,11
416,2,12,24
417,2,83,35
418,2,48,40
419,2,3915,28
420,2,75,11
421,2,5391,12
422,2,3729,18
423,2,28,30
424,2,917,44
425,2,285,26
426,2,35,24
427,2,536,48
428,2,79,21
429,3,8123,25
430,3,7,50
431,3,783,36
432,3,164,7
433,3,49,7
434,3,1239,6
435,3,12,21
436,3,3,38
437,3,79,14
438,3,31,43
439,3,3241,41
440,3,94,25
441,3,82,20
442,3,4,20
443,3,514,36
444,3,356,10
445,3,3,14
446,3,78,17
447,3,57,45
448,3,63,46
449,3,975,6
450,3,823,37
451,3,3,28
452,3,86,16
453,3,57,37
454,3,74,47
455,3,632,49
456,3,74,18
457,3,39,25
458,3,492,46
459,3,621,43
460,3,38,36
461,3,17,17
462,3,162,18
463,3,3857,40
464,3,826,34
465,3,158,9
466,3,531,13
467,3,76,47
468,3,8,30
469,3,15,32
470,3,86,50
471,3,7,49
472,3,965,28
473,3,74,49
474,3,268,21
475,3,5419,25
476,3,721,41
477,3,9371,50
478,3,37,22
479,3,53,33
480,3,619,17
481,3,183,16
482,3,217,16
483,3,76,41
484,3,12,36
485,3,1,36
486,3,2,25
487,3,4976,17
488,3,18,36
489,3,9462,5
490,3,895,10
491,3,6,39
492,3,7143,46
493,3,89,29
494,3,74,21
495,3,2957,19
496,3,14,33
497,3,43,6
498,3,2513,42
499,3,68,36
500,3,41,47
501,3,356,24
502,3,186,9
503,3,2,48
504,3,426,38
505,3,72,20
506,3,291,14
507,3,148,27
508,3,9,50
509,3,37,47
510,3,283,8
511,3,15,31
512,3,4876,47
513,3,4,19
514,3,48,41
515,3,218,39
516,3,41,37
517,3,9,8
518,3,51,49
519,3,2564,47
520,3,8,12
521,3,127,28
522,3,2,32
523,3,694,35
524,3,69,36
525,3,376,47
526,3,72,5
527,3,63,10
528,3,6142,6
529,3,18,7
530,3,213,23
531,3,96,23
532,3,7654,46
533,3,7916,19
534,3,5831,38
535,3,376,47
536,3,497,33
537,3,86,19
538,3,192,39
539,3,5,50
540,3,47,40
541,3,2,15
542,3,57,8
543,3,9763,42
544,3,2,42
545,3,71,41
546,3,14,36
547,3,47,31
548,3,1468,28
549,3,67,32
550,3,6815,31
551,3,827,5
552,3,297,32
553,3,23,20
554,3,69,50
555,3,6,31
556,3,689,47
557,3,78,14
558,3,254,14
559,3,846,17
560,3,362,8
561,3,836,8
562,3,19,15
563,3,461,39
564,3,32,24
565,3,7,50
566,3,97,28
567,3,3,13
568,3,385,47
569,3,4629,39
570,3,986,33
571,3,4526,48
572,3,7,8
573,3,39,34
574,3,8,30
575,3,13,39
576,4,438,8
577,4,9824,18
578,4,62,20
579,4,394,8
580,4,41,5
581,4,85,5
582,4,187,22
583,4,184,25
584,4,28,39
585,4,569,34
586,4,6,39
587,4,17,19
588,4,4,10
589,4,3218,8
590,4,263,16
591,4,12,36
592,4,8,14
593,4,57,18
594,4,8,29
595,4,341,12
596,4,817,45
597,5,378,30
598,5,1,33
599,5,259,12
600,5,27,20
601,5,974,14
602,5,71,15
603,5,79,45
604,5,3985,37
605,5,5739,48
606,5,81,41
607,5,73,5
608,5,364,44
609,5,63,18
610,5,826,9
611,5,81,6
612,5,71,26
613,5,452,30
614,5,8,9
615,5,295,24
616,5,68,41
617,5,964,19
618,5,172,46
619,5,345,35
620,5,72,33
621,5,61,34
622,5,19,27
623,5,6,34
624,5,79,36
625,5,67,49
626,5,7246,32
627,5,14,48
628,5,48,19
629,5,15,40
630,5,53,39
631,5,4791,43
632,5,79,49
633,5,4763,28
634,5,1843,23
635,5,34,35
636,5,8,19
637,5,17,43
638,5,746,24
639,5,157,47
640,5,14,24
641,5,3,33
642,5,86,34
643,5,8249,34
644,5,531,18
645,5,87,38
646,5,24,30
647,5,94,36
648,5,291,38
649,5,5,25
650,5,9,25
651,5,68,19
652,5,432,35
653,5,5,42
654,5,963,39
655,5,38,46
656,5,92,45
657,5,467,47
658,5,795,43
659,5,7,20
660,5,18,35
661,5,254,21
662,5,1,46
663,5,1,39
664,5,6,8
665,5,69,27
666,5,428,12
667,5,1,48
668,5,57,24
669,5,6,16
670,5,3,22
671,5,163,7
672,5,94,43
673,5,14,48
674,5,92,42
675,5,439,45
676,5,5,50
677,5,42,29
678,5,7154,44
679,5,1962,39
680,5,26,24
681,5,821,22
682,5,876,40
683,5,489,40
684,5,617,10
685,5,8,44
686,5,96,14
687,5,4,39
688,5,84,46
689,5,412,47
690,5,8,34
691,5,538,31
692,5,5638,30
693,5,15,43
694,5,32,20
695,5,26,11
696,5,17,15
697,5,81,28
698,5,49,11
699,5,54,37
700,5,6,36
701,5,653,41
702,5,69,21
703,5,54,39
704,5,45,22
705,5,92,25
706,5,8465,25
707,5,39,12
708,5,21,44
709,5,8,7
710,5,9,23
711,5,17,26
712,5,589,48
713,5,93,43
714,5,37,50
715,5,6,37
716,5,7,31
717,5,74,9
718,5,1684,21
719,5,584,14
720,5,76,49
721,5,925,5
722,5,39,5
723,5,4725,43
724,5,2,50
725,5,3814,7
726,5,439,11
727,5,7,6
728,5,31,40
729,5,28,39
730,5,4,22
731,5,95,19
732,5,2893,38
733,5,81,15
734,5,814,43
735,5,89,50
736,5,65,50
737,5,594,37
738,5,7814,6
739,5,219,38
740,5,5,6
741,5,1,9
742,5,59,44
743,5,45,47
744,5,24,31
745,5,768,14
746,5,29,21
747,5,59,19
748,5,84,19
749,5,59,23
750,5,53,8
751,5,37,30
752,5,13,46
753,5,64,8
754,5,34,38
755,5,64,36
756,5,36,17
757,5,786,39
758,5,27,12
759,5,958,5
760,5,92,37
761,5,15,23
762,5,49,29
763,5,87,38
764,5,672,38
765,5,9768,46
766,5,2439,24
767,5,8,23
768,5,8732,46
769,5,57,9
770,5,39,17
771,5,72,27
772,5,3,35
773,5,1362,14
774,5,14,19
775,5,369,49
776,5,125,44
777,5,673,37
778,5,3698,5
779,5,18,13
780,5,65,7
781,5,291,30
782,5,517,33
783,5,13,47
784,5,162,38
785,5,3,34
786,5,8134,36
787,5,1524,14
788,5,67,27
789,5,83,22
790,5,186,11
791,5,32,23
792,5,43,10
793,5,16,42
794,5,67,25
795,5,48,9
796,5,67,5
797,5,8,40
798,5,25,6
799,5,246,24
800,6,297,22
801,6,86,45
802,6,62,47
803,6,56,12
804,6,25,42
805,6,2367,28
806,6,7234,50
807,6,93,8
808,6,572,30
809,6,8,26
810,6,85,42
811,6,93,5
812,6,15,38
813,6,29,13
814,6,5471,5
815,6,25,34
816,6,412,47
817,6,26,12
818,6,712,29
819,6,3,12
820,6,581,40
821,6,564,15
822,6,1253,45
823,6,8452,25
824,6,836,5
825,6,61,46
826,6,468,21
827,6,865,46
828,6,8564,32
829,7,496,10
830,7,3,33
831,7,571,30
832,7,189,20
833,7,483,43
834,7,1,40
835,7,3945,39
836,7,38,48
837,7,6987,40
838,7,6912,44
839,7,28,17
840,7,81,25
841,7,9761,45
842,7,491,31
843,7,5197,40
844,7,86,9
845,7,18,45
846,7,6,27
847,7,59,34
848,7,8,42
849,7,574,48
850,7,6,13
851,7,4158,29
852,7,163,37
853,7,438,37
854,7,41,49
855,7,73,44
856,7,75,24
857,7,189,15
858,7,35,45
859,7,79,6
860,7,51,31
861,7,148,21
862,7,3,18
863,7,49,36
864,7,79,7
865,7,15,10
866,7,24,36
867,7,752,36
868,7,23,25
869,7,795,29
870,7,57,20
871,7,85,46
872,7,2493,7
873,7,9,33
874,7,31,16
875,7,28,34
876,7,7691,40
877,7,72,37
878,7,15,33
879,7,79,30
880,7,694,49
881,7,14,19
882,7,593,11
883,7,791,32
884,7,58,16
885,7,1532,28
886,7,837,50
887,7,84,30
888,7,572,20
889,7,974,6
890,7,458,36
891,7,86,49
892,7,812,17
893,7,849,36
894,7,34,50
895,7,7946,19
896,7,648,11
897,7,24,40
898,7,792,21
899,7,58,33
900,7,61,42
901,7,231,10
902,7,4,26
903,7,52,8
904,7,3917,17
905,7,86,36
906,7,9452,45
907,7,5,34
908,7,96,49
909,7,56,17
910,7,6,30
911,7,46,44
912,7,41,35
913,7,13,43
914,7,76,37
915,7,279,36
916,7,71,18
917,7,4,10
918,7,318,33
919,7,1,10
920,7,263,14
921,7,72,21
922,7,1,6
923,7,98,27
924,7,539,31
925,7,916,18
926,7,1537,41
927,7,985,25
928,7,536,30
929,7,7,27
930,7,57,48
931,7,16,34
932,7,75,19
933,7,64,26
934,7,12,22
935,7,75,25
936,7,93,15
937,7,69,36
938,7,5,21
939,7,12,5
940,7,237,40
941,7,827,6
942,7,956,10
943,7,24,14
944,7,31,26
945,7,5469,31
946,7,53,41
947,7,852,17
948,7,4985,42
949,7,674,8
950,7,94,23
951,7,46,49
952,7,17,47
953,7,18,42
954,7,43,19
955,7,765,16
956,7,793,43
957,7,5,8
958,7,14,45
959,7,2,27
960,7,7,46
961,7,6143,47
962,7,36,42
963,8,47,11
964,8,618,28
965,8,4,37
966,8,83,43
967,8,78,44
968,8,839,35
969,8,741,39
970,8,413,11
971,8,75,40
972,8,14,17
973,8,1,19
974,8,9845,43
975,8,19,31
976,8,63,31
977,8,73,14
978,8,82,48
979,9,81,44
980,9,7526,46
981,9,58,10
982,9,42,39
983,9,81,35
984,9,953,30
985,9,2534,43
986,9,528,8
987,9,71,38
988,10,975,22
989,10,4326,12
990,10,2,41
991,10,845,47
992,10,8,42
993,10,25,10
994,10,1824,42
995,10,4263,15
996,10,9178,17
997,10,6,17
998,10,675,16
999,10,4728,17
1000,10,24,10
1001,10,561,30
1002,10,3127,32
1003,10,52,34
1004,10,7395,23
1005,10,631,48
1006,10,5,46
1007,10,7,15
1008,10,28,35
1009,10,12,20
1010,10,93,32
1011,10,152,32
1012,10,634,41
1013,10,69,15
1014,10,2,28
1015,10,134,14
1016,10,17,12
1017,10,498,7
1018,10,43,20
1019,10,6,48
1020,10,26,13
1021,10,49,5
1022,10,6,14
1023,10,971,41
1024,10,91,31
1025,10,27,34
1026,10,89,29
1027,10,49,8
1028,10,392,15
1029,10,7,28
1030,10,3,36
1031,10,74,46
1032,10,29,36
1033,10,6937,50
1034,10,2,39
1035,10,974,22
1036,10,714,16
1037,10,2,38
1038,10,61,19
1039,10,94,27
1040,10,843,14
1041,10,625,30
1042,10,123,29
1043,10,74,26
1044,10,542,22
1045,10,29,10
1046,10,4,37
1047,10,75,38
1048,10,2,21
1049,10,16,40
1050,10,631,35
1051,10,13,5
1052,10,7,35
1053,10,69,36
1054,10,79,14
1055,10,6947,38
1056,10,945,26
1057,10,18,41
1058,10,52,5
1059,10,67,35
1060,10,8149,17
1061,10,86,26
1062,10,92,13
1063,10,57,7
1064,10,498,39
1065,10,652,42
1066,10,8,6
1067,10,5,13
1068,10,23,50
1069,10,5643,30
1070,10,52,45
1071,10,2,28
1072,10,48,29
1073,10,8,10
1074,10,7856,19
1075,10,4,42
1076,10,93,31
1077,10,617,22
1078,10,9,25
1079,10,692,36
1080,10,285,47
1081,10,729,27
1082,10,63,6
1083,10,283,26
1084,10,2,31
1085,10,7,21
1086,10,568,33
1087,10,17,33
1088,10,54,20
1089,10,5287,23
1090,10,93,48
1091,10,97,11
1092,10,3185,8
1093,10,73,12
1094,10,863,41
1095,10,19,15
1096,10,19,36
1097,10,38,9
1098,10,92,17
1099,10,834,48
1100,10,1739,31
1101,10,93,8
1102,10,549,37
1103,10,4836,48
1104,10,45,46
1105,10,7,49
1106,10,92,17
1107,10,27,37
1108,10,628,47
1109,10,45,44
1110,10,8,13
1111,10,6,21
1112,10,136,9
1113,10,59,22
1114,10,4,15
1115,10,46,23
1116,10,75,47
1117,10,783,17
1118,10,12,46
1119,10,2,34
1120,10,3,37
1121,10,64,42
1122,10,7819,25
1123,10,9,50
1124,10,63,18
1125,10,3945,17
1126,10,689,33
1127,10,5918,44
1128,10,136,23
1129,10,51,49
1130,10,789,23
1131,10,42,14
1132,10,463,8
1133,10,4,14
1134,10,28,44
1135,10,74,46
1136,10,917,7
1137,10,862,21
1138,10,42,17
1139,10,934,13
1140,10,15,17
1141,10,9,30
1142,10,21,49
1143,10,63,30
1144,10,45,39
1145,10,2,24
1146,10,18,23
1147,10,378,50
1148,10,4973,14
1149,10,27,7
1150,10,4,31
1151,10,97,18
1152,10,3,21
1153,10,679,31
1154,10,67,36
1155,10,17,21
1156,10,54,18
1157,10,32,12
1158,10,243,8
1159,10,1483,40
1160,10,63,5
1161,10,2176,40
1162,10,1957,30
1163,10,81,26
1164,10,3485,15
1165,10,235,39
1166,10,85,44
1167,10,275,22
1168,10,864,47
1169,10,1732,12
1170,10,9721,27
1171,10,52,43
1172,10,9513,11
1173,10,764,37
1174,10,871,5
1175,10,4365,23
1176,10,58,22
1177,10,769,45
1178,10,14,16
1179,10,68,41
1180,10,75,35
1181,10,94,44
1182,10,9718,35
1183,10,438,38
1184,10,7,34
1185,10,7,6
1186,10,96,12
1187,10,29,39
1188,10,58,45
1189,10,492,10
1190,10,164,30
1191,10,53,17
1192,10,71,15
1193,10,9327,34
1194,10,63,35
1195,10,257,48
1196,10,6251,50
1197,10,9,12
1198,10,81,44
1199,10,9,45
1200,10,9,31
1201,10,45,27
1202,10,16,13
1203,10,17,7
1204,10,29,21
1205,10,15,38
1206,10,76,43
1207,10,46,20
1208,10,16,11
1209,10,918,24
1210,10,95,50
1211,10,13,34
1212,10,158,23
1213,10,845,46
1214,10,1,19
1215,10,73,18
1216,10,1925,12
1217,10,7986,36
1218,10,1528,18
1219,10,853,15
1220,10,64,23
1221,10,39,45
1222,11,237,22
1223,11,153,40
1224,11,124,24
1225,12,13,41
1226,12,723,43
1227,12,97,20
1228,12,83,17
1229,12,36,38
1230,12,96,7
1231,12,745,12
1232,12,83,32
1233,12,1384,15
1234,12,812,14
1235,12,71,47
1236,12,98,25
1237,12,6,26
1238,12,372,18
1239,12,75,48
1240,12,75,30
1241,12,4931,35
1242,12,759,5
1243,12,673,40
1244,12,16,15
1245,12,371,25
1246,12,624,7
1247,12,5298,39
1248,12,943,49
1249,12,13,17
1250,12,296,30
1251,12,62,47
1252,12,4579,46
1253,12,485,39
1254,12,49,50
1255,12,28,27
1256,12,59,43
1257,12,963,25
1258,12,47,33
1259,12,154,31
1260,12,8,39
1261,12,97,48
1262,12,8,15
1263,12,1925,5
1264,12,31,39
1265,12,8457,44
1266,12,5,16
1267,12,765,44
1268,12,1,30
1269,12,32,32
1270,12,2,49
1271,12,35,35
1272,12,9421,17
1273,12,2,30
1274,12,845,35
1275,12,68,40
1276,12,28,25
1277,12,96,26
1278,12,85,47
1279,12,9,10
1280,12,1982,8
1281,12,523,49
1282,12,3542,30
1283,12,817,12
1284,12,9,19
1285,12,21,33
1286,12,85,40
1287,12,36,7
1288,12,67,31
1289,12,917,48
1290,12,586,20
1291,12,5,41
1292,12,91,49
1293,12,87,25
1294,12,54,12
1295,12,5,8
1296,12,178,38
1297,12,58,21
1298,12,34,30
1299,12,46,21
1300,12,732,15
1301,12,87,16
1302,12,281,6
1303,12,74,27
1304,12,486,48
1305,12,82,11
1306,12,421,20
1307,12,925,8
1308,12,51,8
1309,12,62,45
1310,12,235,21
1311,12,215,48
1312,12,4,37
1313,12,3275,8
1314,12,743,23
1315,12,179,47
1316,12,271,5
1317,12,4,19
1318,12,34,30
1319,12,6148,20
1320,12,7465,28
1321,12,8,45
1322,12,4,36
1323,12,46,17
1324,12,8,12
1325,12,27,35
1326,12,72,44
1327,12,1892,5
1328,12,45,26
1329,12,839,22
1330,12,19,23
1331,12,34,41
1332,12,6,18
1333,12,2,42
1334,12,39,49
1335,12,12,10
1336,12,782,15
1337,12,973,26
1338,12,92,24
1339,12,863,30
1340,12,9158,10
1341,12,126,12
1342,12,83,22
1343,12,95,21
1344,12,72,40
1345,12,379,30
1346,12,8,13
1347,12,2387,19
1348,12,547,21
1349,12,9784,16
1350,12,56,28
1351,12,2,8
1352,12,187,47
1353,12,19,29
1354,12,21,35
1355,12,36,47
1356,12,58,44
1357,12,346,25
1358,12,281,18
1359,12,61,50
1360,12,93,14
1361,12,86,29
1362,12,4,15
1363,12,642,23
1364,12,91,28
1365,12,85,44
1366,12,627,24
1367,12,194,31
1368,12,1924,25
1369,12,3592,18
1370,12,51,10
1371,12,891,46
1372,12,4,9
1373,12,7,43
1374,12,5,40
1375,12,3758,39
1376,12,8391,24
1377,12,29,21
1378,12,3812,46
1379,12,743,11
1380,12,234,30
1381,12,38,33
1382,12,5,36
1383,12,864,7
1384,12,56,25
1385,12,472,36
1386,12,8749,42
1387,12,5,22
1388,12,2,30
1389,12,82,33
1390,12,235,33
1391,12,632,9
1392,12,4,14
1393,12,85,24
1394,12,7125,47
1395,12,5,31
1396,12,349,23
1397,12,4378,38
1398,12,987,12
1399,12,9,47
1400,12,36,40
1401,12,3495,19
1402,12,8,7
1403,12,7214,42
1404,12,794,41
1405,12,3,9
1406,12,4231,15
1407,12,346,49
1408,12,76,36
1409,12,835,14
1410,12,21,25
1411,12,3,32
1412,12,9432,15
1413,12,84,14
1414,12,921,38
1415,12,678,32
1416,12,59,42
1417,12,48,30
1418,12,7581,29
1419,12,84,29
1420,12,64,39
1421,12,31,10
1422,12,71,21
1423,12,1735,49
1424,12,834,11
1425,12,59,50
1426,12,37,29
1427,12,642,15
1428,12,3,37
1429,12,14,25
1430,12,63,13
1431,12,836,16
1432,12,7236,12
1433,12,579,22
1434,12,7,18
1435,12,7589,42
1436,12,5,26
1437,12,18,34
1438,12,643,29
1439,12,5743,38
1440,12,94,33
1441,12,5618,15
1442,12,42,48
1443,12,54,48
1444,12,6,13
1445,12,675,50
1446,12,45,20
1447,12,51,40
1448,12,6978,12
1449,12,28,19
1450,12,8416,19
1451,12,8,21
1452,12,26,12
1453,12,68,6
1454,12,42,25
1455,12,549,33
1456,12,685,5
1457,12,65,28
1458,12,641,11
1459,12,671,21
1460,12,9578,42
1461,12,764,17
1462,12,65,21
1463,12,1926,35
1464,12,86,15
1465,12,63,16
1466,12,293,45
1467,12,837,15
1468,12,957,49
1469,12,83,29
1470,12,357,28
1471,12,19,38
1472,12,2,12
1473,12,7,45
1474,12,52,30
1475,12,318,18
1476,12,35,35
1477,12,273,46
1478,12,34,46
1479,12,91,42
1480,12,731,40
1481,12,931,41
1482,12,628,10
1483,12,913,8
1484,12,3584,47
1485,12,86,10
1486,12,5289,32
1487,12,629,26
1488,12,986,45
1489,12,94,36
1490,12,58,31
1491,12,2,40
1492,12,3648,19
1493,12,5391,15
1494,12,14,35
1495,12,625,33
1496,12,76,39
1497,12,1,11
1498,12,241,38
1499,12,64,50
1500,12,931,10
1501,12,8,36
1502,12,489,17
1503,12,3,50
1504,12,18,49
1505,12,47,31
1506,12,598,27
1507,12,982,23
1508,13,923,8
1509,13,516,20
1510,13,3645,10
1511,13,872,39
1512,13,52,20
1513,13,763,13
1514,13,163,14
1515,13,1,36
1516,13,58,13
1517,13,58,11
1518,13,74,25
1519,13,572,14
1520,13,2,11
1521,13,26,35
1522,13,1239,21
1523,13,3,20
1524,13,8,48
1525,13,64,29
1526,13,3952,42
1527,13,31,48
1528,13,316,24
1529,13,5,5
1530,13,243,12
1531,13,6293,32
1532,13,62,18
1533,13,28,25
1534,13,56,19
1535,13,45,49
1536,13,1824,19
1537,13,82,9
1538,13,694,40
1539,13,859,26
1540,13,531,10
1541,13,456,25
1542,13,2,19
1543,13,7,40
1544,13,3,43
1545,13,589,16
1546,13,36,47
1547,13,63,38
1548,13,71,41
1549,13,5318,37
1550,13,73,42
1551,13,69,44
1552,13,67,41
1553,13,973,15
1554,13,3,46
1555,13,6,48
1556,13,736,36
1557,13,63,18
1558,13,5297,23
1559,13,76,36
1560,13,18,47
1561,13,486,43
1562,13,31,9
1563,13,53,21
1564,13,539,26
1565,13,915,48
1566,13,75,37
1567,13,421,47
1568,13,17,36
1569,13,295,28
1570,13,42,25
1571,13,7,34
1572,13,986,5
1573,13,92,8
1574,13,846,26
1575,13,673,47
1576,13,26,16
1577,13,57,44
1578,13,98,7
1579,13,6,25
1580,13,68,15
1581,13,2,46
1582,13,64,39
1583,13,7,16
1584,13,9253,31
1585,13,89,27
1586,13,45,7
1587,13,69,40
1588,13,16,20
1589,13,74,20
1590,13,214,8
1591,13,572,45
1592,13,531,35
1593,13,5,17
1594,13,51,50
1595,13,126,21
1596,13,548,15
1597,13,345,32
1598,13,4,33
1599,13,54,37
1600,13,8296,13
1601,13,97,35
1602,13,58,26
1603,13,9,30
1604,13,1,40
1605,13,973,48
1606,13,51,11
1607,13,4976,15
1608,13,7826,41
1609,13,5,28
1610,13,4962,44
1611,13,527,36
1612,13,2,50
1613,13,19,32
1614,13,98,11
1615,13,615,7
1616,13,359,43
1617,13,684,17
1618,13,96,12
1619,14,25,28
1620,14,7,29
1621,14,419,21
1622,14,4,35
1623,14,28,41
1624,14,694,33
1625,14,7,29
1626,14,31,41
1627,14,5816,33
1628,14,1754,37
1629,14,4,23
1630,14,5321,36
1631,14,9485,39
1632,14,75,20
1633,14,59,18
1634,14,7294,35
1635,14,26,47
1636,14,18,12
1637,14,2,46
1638,14,49,47
